ID	Percent_Mapped	filesize	type	plate	platePOS	plateCOL	plateROW	fsize.cut	permap.cut
407	95.82559818481849	4316	unknown	5	3	3	7	>3Mb	>90%
408	97.02616403755421	4476	unknown	5	3	3	8	>3Mb	>90%
409	99.57813907190595	4608	unknown	5	4	4	1	>3Mb	>90%
41	99.68098159509202	4380	unknown	1	6	6	1	>3Mb	>90%
410	90.93408045673203	4272	unknown	5	4	4	2	>3Mb	>90%
411	97.45683072947257	3700	unknown	5	4	4	3	>3Mb	>90%
412	96.93775328992305	4800	unknown	5	4	4	4	>3Mb	>90%
413	98.02793957942542	4496	unknown	5	4	4	5	>3Mb	>90%
414	98.37344220025784	5188	unknown	5	4	4	6	>3Mb	>90%
415	94.55723428811248	4232	unknown	5	4	4	7	>3Mb	>90%
416	97.3565739351264	3840	unknown	5	4	4	8	>3Mb	>90%
417	99.5950822423632	5288	unknown	5	5	5	1	>3Mb	>90%
418	96.77028777383568	3908	unknown	5	5	5	2	>3Mb	>90%
419	97.34018339077844	3344	unknown	5	5	5	3	>3Mb	>90%
42	99.27409598064256	4832	unknown	1	6	6	2	>3Mb	>90%
420	95.9217644610903	3040	unknown	5	5	5	4	>3Mb	>90%
421	97.47209129248326	4464	unknown	5	5	5	5	>3Mb	>90%
422	97.6468910439247	5412	unknown	5	5	5	6	>3Mb	>90%
423	97.40021810250818	4892	unknown	5	5	5	7	>3Mb	>90%
424	94.99802097763704	4344	unknown	5	5	5	8	>3Mb	>90%
425	99.60810810810811	3908	unknown	5	6	6	1	>3Mb	>90%
426	92.82488002258398	4600	unknown	5	6	6	2	>3Mb	>90%
427	96.81329594578806	3780	unknown	5	6	6	3	>3Mb	>90%
428	89.05778975049708	3468	unknown	5	6	6	4	>3Mb	65-90%
429	88	16	unknown	5	6	6	5	0-750Kb	65-90%
43	99.22458229648062	5024	unknown	1	6	6	3	>3Mb	>90%
430	98.41898078815626	5228	unknown	5	6	6	6	>3Mb	>90%
431	97.5885455915599	4644	unknown	5	6	6	7	>3Mb	>90%
432	98.43550624133148	3976	unknown	5	6	6	8	>3Mb	>90%
433	99.62118859839781	3580	unknown	5	7	7	1	>3Mb	>90%
434	97.28914316363473	4960	unknown	5	7	7	2	>3Mb	>90%
435	97.75772638858872	4088	unknown	5	7	7	3	>3Mb	>90%
436	97.23672965530339	4736	unknown	5	7	7	4	>3Mb	>90%
437	97.9933110367893	4052	unknown	5	7	7	5	>3Mb	>90%
438	98.7827560552203	5268	unknown	5	7	7	6	>3Mb	>90%
439	81.91619701053664	1936	unknown	5	7	7	7	1.5Mb-3Mb	65-90%
44	99.3435869266685	4008	unknown	1	6	6	4	>3Mb	>90%
440	96.66638463490989	2668	unknown	5	7	7	8	1.5Mb-3Mb	>90%
441	98.72764614536894	4640	unknown	5	8	8	1	>3Mb	>90%
442	98.02587552977916	4896	unknown	5	8	8	2	>3Mb	>90%
443	97.86052931644961	3796	unknown	5	8	8	3	>3Mb	>90%
444	98.31782566111656	4568	unknown	5	8	8	4	>3Mb	>90%
445	97.9832268370607	4004	unknown	5	8	8	5	>3Mb	>90%
