size	name
3888	_S278_L001_R2_001.fastq.gz
3888	_S320_L001_R1_001.fastq.gz
3888	_S700_L001_R2_001.fastq.gz
3892	_S129_L001_R1_001.fastq.gz
3892	_S183_L001_R2_001.fastq.gz
3892	_S757_L001_R1_001.fastq.gz
3896	_S167_L001_R2_001.fastq.gz
3896	_S207_L001_R1_001.fastq.gz
3896	_S455_L001_R1_001.fastq.gz
3896	_S494_L001_R1_001.fastq.gz
3896	_S508_L001_R1_001.fastq.gz
3896	_S596_L001_R2_001.fastq.gz
3896	_S655_L001_R2_001.fastq.gz
3896	_S681_L001_R2_001.fastq.gz
3896	_S721_L001_R2_001.fastq.gz
3896	_S748_L001_R1_001.fastq.gz
3900	_S155_L001_R1_001.fastq.gz
3900	_S320_L001_R2_001.fastq.gz
3900	_S35_L001_R1_001.fastq.gz
3900	_S520_L001_R2_001.fastq.gz
3900	_S629_L001_R2_001.fastq.gz
3900	_S693_L001_R1_001.fastq.gz
3904	_S332_L001_R1_001.fastq.gz
3908	_S175_L001_R1_001.fastq.gz
3908	_S418_L001_R1_001.fastq.gz
3908	_S425_L001_R2_001.fastq.gz
3908	_S500_L001_R1_001.fastq.gz
3908	_S762_L001_R1_001.fastq.gz
3912	_S105_L001_R1_001.fastq.gz
3912	_S482_L001_R1_001.fastq.gz
3912	_S578_L001_R2_001.fastq.gz
3912	_S594_L001_R1_001.fastq.gz
3912	_S600_L001_R1_001.fastq.gz
3912	_S760_L001_R2_001.fastq.gz
3916	_S184_L001_R2_001.fastq.gz
3916	_S297_L001_R1_001.fastq.gz
3920	_S126_L001_R2_001.fastq.gz
3920	_S339_L001_R1_001.fastq.gz
3920	_S490_L001_R2_001.fastq.gz
3920	_S500_L001_R2_001.fastq.gz
3920	_S692_L001_R1_001.fastq.gz
3924	_S255_L001_R2_001.fastq.gz
3928	_S206_L001_R2_001.fastq.gz
3928	_S706_L001_R1_001.fastq.gz
3932	_S136_L001_R1_001.fastq.gz
3932	_S162_L001_R2_001.fastq.gz
3932	_S167_L001_R1_001.fastq.gz
3932	_S325_L001_R1_001.fastq.gz
3932	_S332_L001_R2_001.fastq.gz
3932	_S502_L001_R2_001.fastq.gz
3932	_S580_L001_R1_001.fastq.gz
3932	_S684_L001_R2_001.fastq.gz
3936	_S17_L001_R1_001.fastq.gz
3936	_S340_L001_R2_001.fastq.gz
3936	_S558_L001_R1_001.fastq.gz
3940	_S347_L001_R1_001.fastq.gz
3940	_S457_L001_R2_001.fastq.gz
3940	_S466_L001_R1_001.fastq.gz
3940	_S747_L001_R1_001.fastq.gz
3944	_S129_L001_R2_001.fastq.gz
3944	_S363_L001_R1_001.fastq.gz
3944	_S503_L001_R2_001.fastq.gz
3944	_S581_L001_R1_001.fastq.gz
3944	_S681_L001_R1_001.fastq.gz
3944	_S692_L001_R2_001.fastq.gz
3948	_S197_L001_R2_001.fastq.gz
3948	_S340_L001_R1_001.fastq.gz
3948	_S480_L001_R2_001.fastq.gz
