Sample	Error rate: mismatches (NM) / bases mapped (CIGAR)	Non-primary alignments (millions)	Reads Mapped in the bam file (millions)	% Mapped Reads	% Properly Paired Reads	% of Reads that are Ambiguously Placed (MapQ=0)	Total sequences in the bam file (millions)
SORT-228	5.837011	0	0.03301	99.25431475133803	35.828973480064946	50.78176679295208	0.033257999999999996
SORT-229	5.736215	0	0.048075	98.89126589048422	35.02694697000864	50.796066976591106	0.048614
SORT-23	5.839952	0	0.041106	99.28985507246378	35.869565217391305	47.61352657004831	0.0414
SORT-230	6.467452999999999	0	0.043687	99.2345084499364	53.12102489551154	36.83672542249682	0.044024
SORT-231	6.311894999999999	0	0.042741	99.17625765732319	50.867829961017264	36.98487098570633	0.043095999999999995
SORT-232	6.740482	0	0.039518	92.09079045488441	80.33184190902311	27.679903057419835	0.042912
SORT-233	4.576994	0	0.033666	99.52110677545228	17.204682511528908	66.27645737259076	0.033828
SORT-234	5.362194	0	0.029085	99.0161367195479	32.60706747463743	53.373731871723294	0.029373999999999997
SORT-235	5.476456	0	0.050956999999999995	99.06489365838486	30.872117889498035	55.725339243360935	0.051438
SORT-236	6.307747	0	0.040659999999999995	99.04993909866016	50.148599269183926	38.56272838002436	0.041049999999999996
SORT-237	7.481959000000001	0	0.000544	98.55072463768117	61.95652173913043	31.15942028985507	0.000552
SORT-238	6.08608	0	0.042459	98.98125699365909	40.516598284222304	44.398079074972024	0.042896
SORT-239	5.991881	0	0.025248999999999997	98.80644908820537	39.5867574548016	45.05361195898881	0.025554
SORT-24	5.872708	0	0.043597	99.25553228303433	35.575084236408344	48.64083416810855	0.043924
SORT-240	5.670043000000001	0	0.029178	99.06967268776314	36.187695232921364	48.02390330028521	0.029452
SORT-241	4.660373	0	0.041481	99.4939077041159	18.147366401228055	66.86654514055455	0.041692
SORT-242	5.506805	0	0.029131999999999998	99.14913892859573	29.609965284868288	57.354843101218435	0.029382
SORT-243	5.546291	0	0.039999	98.93395993074449	32.8716299777393	52.72322532772693	0.04043
SORT-244	6.204912	0	0.035553	99.2379835873388	39.95422318986211	46.357394071344835	0.035826
SORT-245	6.237171	0	0.040241	99.18416642019126	45.218377205954845	41.08498471852509	0.040572
SORT-246	6.349304	0	0.048222999999999995	98.87840885790446	45.27373385277835	39.64937461554234	0.04877
SORT-247	6.488486	0	0.030468	99.00565412361084	50.731136673815556	38.87372457269123	0.030774
SORT-248	6.0224340000000005	0	0.043698999999999995	99.14915823387939	42.265281118119525	42.968643644779235	0.044073999999999995
SORT-249	4.61622	0	0.048534999999999995	99.55080608770562	17.873405259055666	67.34626902408007	0.048754
SORT-25	4.776575	0	0.037256	99.64161540518856	20.12837657127574	64.48783097084781	0.03739
SORT-250	5.6867220000000005	0	0.040103	98.82941495391592	33.229828971363794	51.45398984671496	0.040577999999999996
SORT-251	3.901478	0	0.000064	4.3478260869565215	0	2.7853260869565215	0.001472
SORT-252	6.477472	0	0.038468999999999996	99.1929245526275	53.313392811097934	34.730029395080194	0.038782
SORT-253	5.947469	0	0.035408999999999996	98.67629026864341	34.72856983613867	49.50395719540742	0.035884
SORT-254	6.380019000000001	0	0.043233	99.0038472107722	46.99551158743244	38.15837684345516	0.043668
